category_grouped,customer_state,state_share
fashio_female_clothing,RJ,0.04156435501942928
fashio_female_clothing,SC,0.01042982811643264
fashio_female_clothing,SP,0.5167920232674565
fashion_bags_accessories,AC,0.0006392805287968186
fashion_bags_accessories,AL,0.0018995914986871803
fashion_bags_accessories,AM,0.003827718539130061
fashion_bags_accessories,BA,0.04461924910594349
fashion_bags_accessories,CE,0.017965470728573567
fashion_bags_accessories,DF,0.023877707955661572
fashion_bags_accessories,ES,0.02398182839822303
fashion_bags_accessories,GO,0.021708743052637314
fashion_bags_accessories,MA,0.014944764738172162
fashion_bags_accessories,MG,0.14963937879444245
fashion_bags_accessories,MS,0.0071759766816625065
fashion_bags_accessories,MT,0.005266468950350426
fashion_bags_accessories,PA,0.015552555953793097
fashion_bags_accessories,PB,0.009183064361677073
fashion_bags_accessories,PE,0.017532795961434925
fashion_bags_accessories,PI,0.002765784967655939
fashion_bags_accessories,PR,0.052312979720829565
fashion_bags_accessories,RJ,0.11255525332730482
fashion_bags_accessories,RN,0.009275791685903543
fashion_bags_accessories,RO,0.004964709552227768
fashion_bags_accessories,RS,0.051860419742522916
fashion_bags_accessories,SC,0.04060681436121554
fashion_bags_accessories,SE,0.0035782830918792224
fashion_bags_accessories,SP,0.3611107931704374
fashion_bags_accessories,TO,0.0031545751308375684
fashion_male_clothing,BA,0.08605875560252872
fashion_male_clothing,CE,0.004186935136380266
fashion_male_clothing,ES,0.04065437234364484
fashion_male_clothing,GO,0.029432753847057177
fashion_male_clothing,MA,0.007199541108295732
fashion_male_clothing,MG,0.14069893662988606
fashion_male_clothing,MT,0.013839770313259833
fashion_male_clothing,PA,0.026038490896690653
fashion_male_clothing,PR,0.09427379032804432
fashion_male_clothing,RJ,0.08819287302641188
fashion_male_clothing,RS,0.06873137822582952
fashion_male_clothing,SC,0.009077714996333985
fashion_male_clothing,SP,0.39161468754563694
fashion_shoes,AC,0.013844249207737223
fashion_shoes,AL,0.015367419004250598
fashion_shoes,BA,0.03541088489765895
fashion_shoes,CE,0.012354130648728987
fashion_shoes,DF,0.03813515072946542
fashion_shoes,ES,0.031158526744604294
fashion_shoes,GO,0.04181790244892089
fashion_shoes,MA,0.0018733722705039856
fashion_shoes,MG,0.14320257349593135
fashion_shoes,MS,0.022126748682960922
fashion_shoes,MT,0.019372947702745606
fashion_shoes,PA,0.023217791129540102
fashion_shoes,PB,0.007726254180190424
fashion_shoes,PE,0.0548302449764756
fashion_shoes,PI,0.0083911466282991
fashion_shoes,PR,0.04630161926451152
fashion_shoes,RJ,0.10155520136818058
fashion_shoes,RN,0.01745035018489354
fashion_shoes,RO,0.008007892916803355
fashion_shoes,RS,0.03224956919118348
fashion_shoes,SC,0.030736596053049348
fashion_shoes,SP,0.2868000037973762
fashion_shoes,TO,0.00806942447598845
fashion_sport,BA,0.05957429456858587
fashion_sport,DF,0.01449044349876188
fashion_sport,MA,0.11653519372488547
fashion_sport,MG,0.10887294079269287
fashion_sport,PA,0.09716641212318916
fashion_sport,PR,0.024095135006894915
fashion_sport,RJ,0.0590960988122952
fashion_sport,RS,0.030074435432452067
fashion_sport,SC,0.08360270458623092
fashion_sport,SP,0.40649234145401164
fashion_underwear_beach,BA,0.06536542110398735
fashion_underwear_beach,DF,0.015467273650824682
fashion_underwear_beach,ES,0.010955039999162138
fashion_underwear_beach,GO,0.047275466191412964
fashion_underwear_beach,MG,0.11753714083231075
fashion_underwear_beach,MS,0.04297269793170381
fashion_underwear_beach,MT,0.00861426424408304
fashion_underwear_beach,PA,0.021499004166615755
fashion_underwear_beach,PE,0.02215707460633598
fashion_underwear_beach,PI,0.01630862630850412
fashion_underwear_beach,PR,0.030883926498593964
fashion_underwear_beach,RJ,0.14151132771384237
fashion_underwear_beach,RS,0.0390452218325778
fashion_underwear_beach,SC,0.04398249567541243
fashion_underwear_beach,SP,0.37642501924463284
fixed_telephony,AL,0.013267112565638122
fixed_telephony,AM,0.000648421753430772
fixed_telephony,AP,0.006020518750011822
fixed_telephony,BA,0.06910325509611583
fixed_telephony,CE,0.007979023540515169
fixed_telephony,DF,0.0019008182660124235
fixed_telephony,ES,0.1327719982675129
fixed_telephony,GO,0.00810810896007273
fixed_telephony,MA,0.001961184219236533
fixed_telephony,MG,0.024440960836839182
fixed_telephony,MS,0.0007729363827964285
fixed_telephony,PA,0.009685189189734447
fixed_telephony,PB,0.03143032949407972
fixed_telephony,PE,0.002407545523494177
fixed_telephony,PI,0.006348669963099537
fixed_telephony,PR,0.005847932016903728
fixed_telephony,RJ,0.320453844791096
fixed_telephony,RS,0.04279110732278416
fixed_telephony,SC,0.028772809031124877
fixed_telephony,SE,0.0017586509296987252
fixed_telephony,SP,0.26076121624629056
fixed_telephony,TO,0.022768366853512162
food,AL,0.005895284456089045
food,AM,0.005138616300879916
food,BA,0.03751427811205415
food,CE,0.01240148205230718
food,DF,0.01853741268714
food,ES,0.03333660575674882
food,GO,0.014138509924330448
food,MG,0.07533838817924092
food,MS,0.012591537841201412
food,MT,0.026138276935075568
food,PB,0.008225723927969128
food,PE,0.020713619835370664
food,PI,0.004744284721620227
food,PR,0.061115378630783396
food,RJ,0.09825392055011714
food,RN,0.004277485827170649
food,RO,0.0034579215116080325
food,RS,0.027059842415037536
food,SC,0.0277199786371824
food,SE,0.0010211054902605295
food,SP,0.5023803462078127
food_drink,AL,0.0033805062078700594
food_drink,BA,0.03329803546917471
food_drink,CE,0.01855529968577174
food_drink,DF,0.018627802518067754
food_drink,ES,0.024393503943512897
food_drink,MA,0.008343744312596702
food_drink,MG,0.11590539514783428
food_drink,MS,0.0016621397607998396
food_drink,PA,0.004234264049396624
food_drink,PE,0.03826127357390135
food_drink,PI,0.011712413323357207
food_drink,PR,0.04614780614814154
food_drink,RJ,0.18653696386744906
food_drink,RN,0.022938515132130247
food_drink,RS,0.024982404499713194
food_drink,SC,0.006466562137639968
food_drink,SE,0.006683084201435556
food_drink,SP,0.42787028602120736
furniture_bedroom,BA,0.04165117324878421
furniture_bedroom,DF,0.0229341782838578
furniture_bedroom,ES,0.00487936219968282
furniture_bedroom,GO,0.008865005934469027
furniture_bedroom,MG,0.10805802357648776
furniture_bedroom,MS,0.009111954457664143
furniture_bedroom,MT,0.025451512326542997
furniture_bedroom,PE,0.009244552433172851
furniture_bedroom,PR,0.015581681366659357
furniture_bedroom,RJ,0.1850958253534628
furniture_bedroom,RN,0.015584114357035661
furniture_bedroom,RS,0.022028294867079655
furniture_bedroom,SC,0.038924602033736655
furniture_bedroom,SE,0.016769386168693008
